ts	phase	decision	why	evidence	result
2026-07-30T15:45:08Z	frame	set a falsifiable report-v2 completion predicate	the graph can mis-rank evidence, so browser behavior and ordering must be measured	src/black_box_unlock/visualization/html.py, src/black_box_unlock/visualization/coupling_graph.py	scope is one report boundary, three projections, bundled assets, docs, and browser proof
2026-07-30T15:47:25Z	baseline	captured the pre-change report and focused test baseline	the final proof needs measured old and new values	72 focused tests; report 388297 bytes, 2 external scripts, 0 search controls, 0 confidence fields	baseline green; current report misses the target predicate
2026-07-30T16:00:33Z	architecture	Use AnalysisResult as the canonical envelope, add only confidence-enriched raw coupling evidence, and delete the Plotly/Cytoscape-specific transforms.	Prevents duplicated domain models and preserves numerator, denominators, raw ratio, and Wilson confidence in every view.	candidate-1 design; candidate-2 design; docs/VISUAL_REPORT_V2.md	chosen
2026-07-30T16:00:39Z	visual direction	Choose the investigation workspace prototype: master file grid, persistent selected-file evidence, and supplementary charts; graft the findings prototype's explicit non-causal language.	The workspace best supports repeated investigation; the dashboard is cramped and the findings view hides the complete corpus.	/private/tmp/visual-report-prototypes/a.png; b.png; c.png	chosen
2026-07-30T16:02:00Z	offline dependencies	Vendor ECharts 6.1.0 and Tabulator 6.5.2 with upstream licenses and SHA-256 manifest.	One chart runtime covers both spatial views; Tabulator earns its weight through virtualization, sorting, filtering, and keyboard controls. Generated reports make no CDN requests.	npm package tarballs; visualization/assets/vendor/manifest.json	implemented
2026-07-30T16:16:36Z	implementation	Replace the monolithic CDN report with package assets, a 77-line Python facade, deterministic report data, and an investigation-workspace browser application.	Keeps the public API stable while reducing Python reader load and exposing ownership, defect, CI, X-Ray, and confidence evidence.	335 tests passed; node syntax check; generated 110-file / 1008-pair report	implemented
2026-07-30T16:16:43Z	verification	Prove offline composition, evidence ordering, escaping, full tests, all hooks, and wheel contents; do not retry unstable Chrome-for-Testing.	The in-app browser blocks file URLs and the user reported Chrome crashes, so interaction proof stops at deterministic document/JS contracts and the generated artifact is handed off for manual viewing.	335 tests; all prek hooks; 1.79 MB wheel with assets; 2.44 MB generated report; 0 external script tags	green with browser-surface limitation recorded
2026-07-30T16:17:54Z	independent review	Narrow the offline claim to observable behavior and CSP enforcement; remove all remaining stale frozen-report documentation.	The bundled full Tabulator build contains unused remote-data APIs even though report code never invokes them; documentation must describe the enforced guarantee precisely.	gpt-5.6-terra review; docs/VISUAL_REPORT_V2.md; docs/CODEMAP.md; README.md	two P2 findings fixed
2026-07-30T20:08:05Z	presentation correction	Keep Tabulator cells inline, open strongest evidence first, default to source and migrations, and make broader roles opt-in.	User screenshots showed vertically stacked cells, ascending zero-signal rows, and repository-support files overwhelming both file and coupling evidence.	346 tests; all prek hooks; generated 125-file report reduced to 36 files and 130 code-to-code pairs in default scope	implemented and verified without Chrome
2026-07-30T20:13:06Z	initialization correction	Construct both Tabulator grids with their default scoped data, reserving asynchronous replacement for later scope changes.	Filling empty grids before Tabulator finished constructing created a startup race that could leave the report blank.	blank-startup regression contract; regenerated report contains constructor data; 346 tests	fixed before push
2026-07-30T20:21:39Z	visual refinement	Choose a grouped change landscape over a sunburst or ranked bars; add scope-relative heat meters to exact numeric table cells.	The grouped landscape preserves structural context without deep path whitespace; sunburst labels are ambiguous and bars duplicate the grid.	three-option visual sketch; 348 tests; all prek hooks; regenerated offline report	implemented
2026-07-30T20:31:11Z	change-landscape regression	Only file leaves render hotspot labels, while root and group nodes remain structural headings; use a taller canvas and compressed line-change area so small files remain legible.	ECharts supplies a synthetic root without file data, focus emphasis dimmed unrelated tiles, and raw line counts crushed smaller files into slivers.	failing regression contracts, then 350 tests and all hooks; regenerated 2.75 MB report with stable hierarchy and geometry	fixed
2026-07-30T20:53:02Z	layout density	Let workspace and chart cards fit their own content, inset the treemap by 12px, and replace repeated grid-link prose with accessible icon buttons.	Grid stretch made short tables and plots inherit a taller sibling's height, producing large blank regions; ECharts defaults also left unnecessary plot margins.	failing layout contracts, then 351 tests and all hooks; regenerated report uses compact independent card heights	fixed
2026-07-30T21:03:22Z	page flow	Use two independently flowing investigation columns and flatten them into deliberate file, evidence, scatter, landscape order on narrower screens.	Separate row grids still let the tall evidence panel hold both charts below it, leaving a column-sized void; default figure margins added hidden gutters.	failing page-structure contract, then 351 tests and all hooks; regenerated report has continuous desktop columns and explicit responsive order	fixed
2026-07-30T21:10:43Z	column balance	Increase the file viewport to a responsive 570px cap, place the dense landscape beneath it, and pair selected evidence with the shorter scatter plot; title the report literally.	The evidence rail remained taller than the file rail, so useful table capacity was traded for dead space; the original rhetorical heading obscured that the page presents evidence rather than a verdict.	failing composition and heading contracts, then 351 tests and all hooks; regenerated report balances the two rails and uses Repository evidence overview	fixed
2026-07-30T21:17:24Z	actionability	Add three scope-aware investigation leads that translate the strongest hotspot, supported coupling, and hotspot concentration into explicit next actions linked to their evidence.	A ranked table and charts still left the reader to infer what to do; high scores and coupling percentages are only useful when they change review and testing behaviour.	failing actionability contract, then 352 tests and all hooks; regenerated report opens with evidence-backed file, pair, and review-allocation actions	implemented
