ts	phase	decision	why	evidence	result
2026-07-30T00:13:06Z	frame	Build v1.3 around one typed change review instead of adding repository-wide signals	The current product already has validated signals but leaves the final change decision to prompt prose	README.md:25, commands/analyze.md:5, docs/VALIDATION.md:19	Definition of done set
2026-07-30T00:13:06Z	frame	Use high rigor and land through a feature branch	The change crosses the domain model, CLI, MCP, plugin hook, cache behavior, and public documentation	branch feat/change-review, commit 30a9d53	About 12 to 18 files expected
2026-07-30T00:13:06Z	frame	Keep dashboards, PR-process metrics, telemetry, and wider language parsing out of scope	Those ideas were deliberately cut and do not tighten the current change-review loop	.planning/superpowers/plans/2026-06-12-agent-native-pivot.md:19	Scope bounded
2026-07-30T00:29:22Z	design	Select candidate 1 as the base and graft candidate 2's pure ranker plus candidate 3's explicit no-change result	It is the smallest design that preserves precise base, staged, and working-tree semantics with one uncached policy boundary	three architecture candidates and gpt-5.6-terra cross-judge scorecard	Design committed to docs/CHANGE_REVIEW_DESIGN.md
2026-07-30T00:29:22Z	design	Keep the ambient hook narrow and parse its JSON in Python	A full fresh review after every edit would be slow and noisy; the explicit command owns the complete decision	architecture cross-judge explicit rejection	jq dependency removed without moving full review into the hook
2026-07-30T00:29:22Z	design	Defer complexity-growth actions until a threshold is validated	An arbitrary delta threshold would create a new unvalidated recommendation policy; v1.3 can expose current complexity while grounding actions in measured history	docs/VALIDATION.md and tournament synthesis	Action contract stays evidence-backed
2026-07-30T00:31:58Z	red	Capture the release acceptance failure before implementation	The current ratio-first sorter puts a 1-of-1 pair ahead of repeated 11-of-13 evidence and no change-review entry point exists	focused pytest: 5 failed, 12 passed, 2 collection errors	Expected red baseline confirmed
2026-07-30T00:44:37Z	implement	Use a 95% Wilson lower bound and a two-shared-revision action floor	The ordering remains statistically named and auditable while preventing one-off perfect ratios from dominating	temporal-coupling regression and release proof	11-of-13 evidence ranks first
2026-07-30T00:44:37Z	implement	Keep review uncached and keep the ambient hook on its small HEAD-aware cache	Dirty working-tree review cannot be made truthful with the existing process cache, while a full scan after every edit would be noisy	MCP freshness test, guard HEAD invalidation test, direct CLI run	Review is fresh and the hook stays fast
2026-07-30T00:44:37Z	dogfood	Add the companion tests named by the real review output	The new command ranked analysis.py to test_analysis.py first with 11 shared revisions, exposing a real test coverage gap	bbu review-change --working-tree on this branch	Regression assertions now cover raw counts and ensured paths
2026-07-30T00:44:37Z	review	Share coupling display projection and bound primary review evidence	The thermo-nuclear and deslop pass found duplicated projection code and an unbounded coupling list	core coupling_info_for helper and MAX_REVIEW_COUPLINGS=20	No structural blocker remains
2026-07-30T00:44:37Z	green	Verify the actual package, command, adapters, and test suite	The release must pass through real artifacts rather than mocks alone	339 tests, 95% coverage, ruff, build, direct doctor, direct review, scripts/verify_change_review.py	Implementation ready for commit
2026-07-30T00:47:10Z	correction	Clarify the support floor is the default	The CLI and MCP intentionally expose min_shared_revisions so an explicit caller can lower it to one	GPT-5.6-sol final trail review	Documentation now matches the public option
2026-07-30T00:47:10Z	correction	Supersede the earlier 339-test count	Additional type-boundary regression coverage was added after the first green row	340 tests passed in the final reviewer run	The latest verification count is authoritative
2026-07-30T00:52:03Z	review	Fix unborn-repository review before committing	The gpt-5.6-terra trail review proved working-tree review resolved HEAD before collecting an untracked first file	real unborn working-tree and staged integration coverage	HEAD is nullable for local modes and untracked first files review successfully
2026-07-30T00:52:03Z	review	Align clean-result and guard documentation contracts	The plugin must report CI state even when no paths are selected, and the guard docstring still named ratio-first ordering	gpt-5.6-terra final audit	NoChanges carries disabled CI status and docs name Wilson ordering
2026-07-30T00:53:04Z	green	Supersede the earlier 340-test verification count	The unborn-repository regression test was added after the earlier correction	341 tests at 95.54% coverage, ruff, release proof, diff check	Final pre-commit gates passed
2026-07-30T00:53:04Z	review	Accept the cross-model re-review after fixes	The gpt-5.6-terra reviewer rechecked every reported issue and found no regression	focused tests, ruff, whitespace checks	No P1, P2, or remaining P3 finding
